Unnamed: 0,ID,X,UniBinChoice,SGTBinChoice,SGTFreqVsValue,MGBinChoice,MGGain,MGLoss,MGValue,SGTReward,UniReward,Block,IUSScore,BaseCorona,Between,MGLA,MGLogLA,CoronaLA,CoronaLogLA,TotalLives,TotalUnemployment,k_social,k_no_social,s,c_score
19251,193,19234,b,a,a,a,60,-15,45,200,13,2,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19252,193,19235,a,a,a,a,60,-25,35,200,54,2,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19253,193,19247,b,d,b,b,10,-10,0,-100,20,3,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19254,193,19271,b,a,a,b,10,-45,-35,200,10,4,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19255,193,19203,a,a,a,a,70,-30,40,200,-21,1,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19256,193,19237,a,b,a,a,90,-15,75,100,82,2,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19257,193,19238,a,b,a,a,70,-40,30,100,42,2,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19258,193,19239,a,a,a,b,10,-30,-20,-1050,8,2,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19259,193,19240,b,b,a,b,20,-35,-15,-650,14,3,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19260,193,19279,b,a,a,a,100,-15,85,200,17,4,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19261,193,19299,b,b,a,a,100,-5,95,100,16,5,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19262,193,19258,b,a,a,a,50,-15,35,200,9,3,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19263,193,19217,b,c,b,b,30,-50,-20,-200,20,1,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19264,193,19218,b,a,a,a,70,-25,45,200,25,1,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19265,193,19290,b,a,a,b,30,-45,-15,200,7,5,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19266,193,19291,b,a,a,b,20,-40,-20,200,11,5,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19267,193,19286,b,b,a,b,60,-30,30,-650,9,5,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19268,193,19272,b,b,a,a,70,-20,50,-650,25,4,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19269,193,19273,b,b,a,a,60,-5,55,100,16,4,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19270,193,19292,b,a,a,b,40,-45,-5,200,12,5,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19271,193,19264,b,d,b,a,60,-45,15,650,17,4,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19272,193,19251,a,a,a,b,40,-40,0,200,-14,3,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19273,193,19252,b,a,a,a,50,-35,15,200,12,3,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19274,193,19253,b,a,a,a,60,-20,40,200,10,3,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19275,193,19254,b,a,a,a,70,-45,25,200,13,3,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
19276,193,19259,b,a,a,a,30,-5,25,200,17,3,39.0,0.30952380952381,1,0.89786807884865,-0.107732126985362,,,34400.0,186,510.390895452434,554.244977946324,0.109435923498891,1.93003941962915
